	Gender	Race	Education	Age	Occupation	Religion	Political belief
0	 Female	 White	 Bachelor's degree	 35 years old	 small business owner	 evangelical Christian	 conservative
1	 female	 African American	 Less than High School	 55 years old	 Stay-at-home mom	 Christian	 Conservative
2	 Male	 White	 College degree	 50 years old	 Business owner	 Christian	 Conservative
3	 Male	 Caucasian	 College	 35 years old	 Mechanic	 Baptist	 Conservative
4	 male	 White	 bachelor's degree	 65 years old	 small business owner	 fundamentalist	 conservative
5	 Male	 White	 Bachelor's degree	 35 years old	 Business owner	 Evangelical	 Conservative
6	 Male	 White	 High School	 35 years old	 Construction worker	 Baptist	 Conservative
7	 male	 White	 College graduate	 55 years old	 construction worker	 Christian	 conservative
8	 Female	 White	 College	 25 years old	 student	 Evangelical	 conservative.
9	 female	 African American	 High School	 30 years old	 Sales representative	 Baptist	 Democrat
